type	conf	expFolder	map	expNumber	targetFound	exploredArea	takeoffsCount	actionsTotal	actionsCount	actionSequence
emulation	conf7.1	Exp-22-08-29T07-22-36	map-16A	0	1	99.39	2	34	[1, 2, 28, 3, 0]	[2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 1, 2, 1, 2]
emulation	conf7.1	Exp-22-08-29T07-22-36	map-16AD	0	1	53.21	3	34	[2, 0, 23, 7, 2]	[2, 2, 2, 2, 2, 2, 0, 2, 3, 2, 3, 2, 3, 2, 2, 3, 2, 2, 3, 4, 4, 2, 3, 2, 2, 2, 3, 2, 0, 2, 2, 2, 2, 2]
emulation	conf7.1	Exp-22-08-29T07-22-36	map-16B	0	0	51.22	3	34	[2, 0, 17, 14, 1]	[3, 2, 3, 3, 3, 0, 2, 3, 3, 3, 2, 3, 2, 3, 3, 2, 3, 3, 2, 2, 2, 2, 2, 3, 4, 2, 0, 2, 3, 2, 2, 2, 2, 2]
emulation	conf7.1	Exp-22-08-29T07-22-36	map-16BD	0	1	99.36	1	33	[0, 3, 27, 3, 0]	[2, 2, 2, 3, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16A	0	1	100.0	1	50	[0, 0, 35, 14, 1]	[2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 3, 2, 3, 3, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 2, 2, 3, 3, 3, 2, 3, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 2, 2, 4, 3, 2, 2, 2, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16A	1	1	100.0	5	51	[4, 1, 34, 12, 0]	[1, 2, 3, 3, 2, 2, 3, 2, 0, 2, 2, 2, 2, 3, 2, 2, 3, 0, 2, 0, 3, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 2, 2, 2, 3, 3, 2, 2, 0, 3, 2, 2, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16A	2	1	100.0	5	52	[3, 4, 33, 12, 0]	[2, 3, 2, 2, 2, 3, 0, 1, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 2, 2, 3, 0, 2, 1, 2, 2, 0, 1, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 3, 3, 2, 1, 3, 3, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16A	3	1	99.39	4	68	[5, 2, 44, 15, 2]	[3, 2, 3, 2, 0, 2, 4, 2, 2, 4, 0, 2, 2, 2, 2, 3, 2, 2, 3, 2, 0, 3, 2, 3, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 2, 0, 3, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 3, 2, 0, 2, 2, 3, 2, 2, 3, 2, 2, 2, 2, 3, 3, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16A	4	1	59.76	2	70	[4, 3, 43, 19, 1]	[2, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 3, 0, 3, 2, 1, 0, 2, 2, 2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 2, 3, 3, 2, 3, 2, 3, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 1, 0, 3, 2, 1, 3, 3, 0, 2, 3, 2, 2, 2, 2, 2, 4]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16A	5	1	94.51	0	69	[1, 1, 49, 17, 1]	[2, 2, 3, 2, 3, 2, 2, 3, 2, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 2, 3, 0, 2, 2, 2, 2, 2, 1, 2, 2, 3, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 4, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16A	6	1	71.95	0	67	[2, 1, 48, 16, 0]	[2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 0, 2, 2, 2, 3, 2, 3, 2, 2, 2, 3, 2, 2, 2, 1, 2, 3, 2, 2, 2, 3, 2, 3, 3, 2, 2, 3, 2, 2, 3, 2, 3, 2, 3, 3, 2, 3, 2, 2, 3, 2, 0, 2, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16A	7	1	78.66	1	70	[4, 5, 41, 19, 1]	[2, 3, 2, 3, 0, 2, 1, 3, 2, 2, 3, 2, 2, 2, 0, 3, 2, 2, 3, 1, 2, 2, 3, 2, 2, 2, 0, 2, 2, 2, 3, 3, 2, 3, 2, 2, 2, 2, 2, 3, 1, 2, 2, 3, 2, 2, 2, 2, 2, 2, 3, 3, 1, 3, 3, 3, 2, 2, 1, 3, 2, 2, 4, 2, 2, 2, 3, 2, 0, 2]
