type	conf	expFolder	map	expNumber	targetFound	exploredArea	takeoffsCount	actionsTotal	actionsCount	actionSequence
real	conf7.1	Exp-22-08-29	map-16A	0	1	72.56	5	37	[3, 0, 25, 6, 3]	[2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 2, 0, 0, 0, 3, 2, 2, 4, 2, 2, 4, 2, 2, 2, 2, 2, 2, 3, 3, 4, 2, 2]
real	conf7.1	Exp-22-08-29	map-16AD	0	1	100.0	1	30	[0, 3, 22, 5, 0]	[2, 3, 2, 2, 2, 2, 3, 3, 2, 3, 3, 2, 2, 1, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
real	conf7.1	Exp-22-08-29	map-16AD	1	1	100.0	2	25	[2, 0, 20, 2, 1]	[2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 3, 2, 2, 2, 2, 0, 4, 2]
real	conf7.1	Exp-22-08-29	map-16B	0	1	100.0	3	38	[1, 1, 31, 3, 2]	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 0, 2, 2, 4, 4, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 1]
real	conf7.1	Exp-22-08-29	map-16B	1	1	100.0	1	35	[0, 2, 28, 5, 0]	[2, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 3, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2]
real	conf7.1	Exp-22-08-29	map-16BD	0	0	94.87	6	43	[2, 3, 27, 9, 2]	[2, 2, 3, 0, 2, 2, 1, 2, 3, 2, 3, 2, 4, 2, 3, 3, 3, 2, 2, 4, 2, 3, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 2, 2, 1, 2, 2, 2, 2, 1, 2]
real	conf7.1	Exp-22-08-29	map-16BD	1	1	96.79	7	43	[2, 2, 27, 9, 3]	[3, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 3, 0, 2, 2, 4, 4, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 0, 2, 4, 2, 3, 2, 3, 2, 2, 2, 1, 3]
real	conf7.1	Exp-22-08-29	map-16BD	2	1	90.38	6	50	[1, 0, 36, 9, 4]	[2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 4, 2, 2, 2, 3, 2, 3, 2, 2, 2, 2, 4, 2, 4, 2, 2, 3, 2, 2, 2, 2, 2, 4, 2, 0, 3, 3, 3, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3]
real	conf7.1	Exp-22-09-08	map-16A	0	1	89.63	5	45	[4, 1, 35, 4, 1]	[4, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 0, 2, 2, 2, 2, 0, 2, 2, 3, 2, 2, 3, 2, 2, 2, 2, 2, 2, 0, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 2, 1, 2]
real	conf7.1	Exp-22-09-08	map-16A	1	1	100.0	1	33	[0, 1, 28, 4, 0]	[3, 2, 2, 2, 3, 2, 1, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
real	conf7.1	Exp-22-09-08	map-16A	2	1	92.68	5	43	[1, 0, 36, 5, 1]	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 3, 3, 2, 2, 2, 2]
real	conf7.1	Exp-22-09-08	map-16A	3	1	93.9	3	37	[0, 0, 29, 8, 0]	[2, 2, 2, 2, 2, 2, 2, 3, 3, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 3, 2, 2, 3, 2, 2, 2, 2, 2, 2, 3]
real	conf7.1	Exp-22-09-08	map-16AD	0	1	100.0	3	39	[1, 2, 26, 10, 0]	[2, 3, 3, 0, 3, 2, 3, 3, 2, 2, 2, 1, 2, 2, 3, 2, 2, 1, 2, 2, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 2]
real	conf7.1	Exp-22-09-08	map-16AD	1	1	100.0	3	46	[3, 3, 33, 7, 0]	[2, 2, 3, 2, 2, 2, 2, 2, 2, 0, 2, 3, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 2, 0, 3, 2, 2, 2, 3, 2, 2, 1, 2, 2, 2, 1, 1, 0, 3, 2, 2, 2, 2, 2]
real	conf7.1	Exp-22-09-08	map-16AD	2	1	100.0	3	44	[1, 2, 29, 11, 1]	[2, 2, 4, 2, 3, 2, 2, 1, 2, 2, 2, 3, 2, 3, 2, 2, 3, 2, 2, 2, 2, 0, 2, 2, 2, 3, 2, 2, 3, 2, 2, 3, 2, 3, 2, 2, 2, 3, 3, 1, 2, 3, 2, 2]
real	conf7.1	Exp-22-09-08	map-16B	0	1	100.0	3	33	[3, 0, 23, 6, 1]	[3, 2, 2, 3, 2, 2, 3, 2, 2, 2, 2, 0, 0, 2, 2, 2, 4, 3, 2, 2, 2, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 0, 2]
