type	conf	expFolder	map	expNumber	targetFound	exploredArea	takeoffsCount	actionsTotal	actionsCount	actionSequence
simulation	conf10	Exp-22-09-20T07-46-51	map-16A	0	1	49.39	11	59	[0, 8, 25, 16, 10]	[1, 2, 4, 3, 2, 2, 2, 2, 1, 3, 3, 1, 1, 3, 2, 4, 1, 2, 2, 4, 3, 2, 2, 3, 3, 2, 1, 2, 1, 3, 3, 2, 2, 3, 2, 2, 4, 2, 4, 1, 4, 2, 4, 2, 4, 2, 4, 2, 3, 3, 4, 3, 2, 2, 3, 3, 2, 2, 3]
simulation	conf10	Exp-22-09-20T07-46-51	map-16A	1	1	64.63	5	58	[0, 8, 33, 13, 4]	[2, 2, 2, 2, 2, 2, 3, 2, 1, 4, 1, 2, 3, 1, 4, 3, 2, 1, 3, 1, 2, 3, 2, 2, 3, 2, 2, 3, 2, 2, 2, 2, 2, 4, 2, 1, 2, 2, 1, 2, 2, 3, 2, 4, 3, 2, 2, 2, 3, 3, 2, 1, 3, 3, 2, 2, 2, 2]
simulation	conf10	Exp-22-09-20T07-46-51	map-16A	2	1	43.9	10	59	[4, 6, 25, 16, 8]	[3, 3, 2, 0, 4, 2, 2, 3, 3, 2, 2, 2, 1, 2, 3, 4, 3, 1, 3, 2, 0, 4, 2, 1, 2, 2, 3, 3, 3, 4, 2, 1, 4, 2, 1, 3, 2, 0, 1, 4, 2, 4, 2, 3, 2, 0, 4, 2, 3, 2, 2, 3, 2, 3, 2, 2, 3, 2, 2]
simulation	conf10	Exp-22-09-20T07-46-51	map-16A	3	1	45.12	9	59	[6, 6, 23, 12, 12]	[2, 2, 2, 2, 4, 4, 2, 2, 3, 0, 4, 2, 1, 1, 2, 3, 2, 2, 3, 2, 1, 3, 1, 3, 0, 4, 4, 4, 2, 3, 3, 2, 3, 2, 2, 3, 2, 2, 4, 4, 4, 3, 2, 4, 1, 4, 2, 0, 0, 4, 2, 2, 1, 0, 0, 3, 2, 2, 3]
simulation	conf10	Exp-22-09-20T07-46-51	map-16A	4	1	52.44	9	59	[1, 5, 23, 14, 16]	[4, 3, 2, 2, 2, 3, 3, 1, 4, 3, 2, 2, 3, 2, 4, 4, 4, 2, 2, 2, 2, 1, 3, 4, 4, 4, 4, 1, 3, 2, 4, 4, 3, 2, 2, 3, 3, 4, 2, 3, 4, 2, 3, 3, 2, 2, 2, 2, 2, 4, 3, 2, 2, 0, 4, 4, 1, 2, 1]
simulation	conf10	Exp-22-09-20T07-46-51	map-16A	5	1	55.49	10	59	[4, 6, 27, 9, 13]	[2, 2, 2, 3, 2, 2, 4, 2, 1, 3, 2, 1, 4, 1, 4, 4, 4, 2, 4, 3, 2, 2, 2, 3, 2, 0, 4, 2, 4, 0, 0, 0, 4, 4, 3, 2, 4, 2, 4, 2, 3, 2, 2, 3, 2, 2, 3, 3, 2, 1, 2, 2, 2, 4, 1, 2, 2, 1, 2]
simulation	conf10	Exp-22-09-20T07-46-51	map-16A	6	1	51.22	12	58	[3, 3, 25, 13, 14]	[2, 0, 4, 3, 2, 2, 4, 3, 3, 1, 2, 2, 2, 4, 4, 3, 3, 3, 4, 2, 4, 2, 1, 2, 3, 2, 2, 2, 4, 4, 3, 3, 2, 2, 2, 4, 2, 2, 2, 4, 4, 2, 2, 2, 0, 4, 3, 4, 3, 2, 4, 2, 3, 2, 2, 3, 1, 0]
simulation	conf10	Exp-22-09-20T07-46-51	map-16A	7	1	45.73	10	59	[1, 7, 25, 11, 15]	[2, 4, 4, 4, 2, 2, 4, 2, 3, 3, 2, 4, 3, 3, 1, 2, 1, 2, 3, 2, 2, 2, 2, 3, 2, 3, 2, 4, 2, 4, 4, 4, 1, 3, 1, 2, 1, 3, 4, 2, 3, 1, 4, 2, 2, 2, 2, 4, 2, 0, 4, 2, 1, 2, 3, 2, 2, 4, 4]
simulation	conf10	Exp-22-09-20T07-46-51	map-16A	8	1	51.83	7	59	[2, 6, 23, 22, 6]	[3, 3, 2, 3, 3, 2, 1, 2, 2, 1, 2, 1, 2, 3, 3, 1, 2, 4, 2, 2, 3, 2, 2, 3, 3, 2, 3, 4, 2, 1, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 3, 3, 4, 0, 3, 2, 4, 2, 1, 2, 4, 2, 2, 0, 4, 2, 3, 3]
simulation	conf10	Exp-22-09-20T07-46-51	map-16A	9	1	53.05	10	59	[2, 5, 23, 16, 13]	[4, 3, 1, 2, 2, 2, 4, 2, 3, 2, 2, 3, 3, 2, 4, 4, 1, 2, 3, 2, 2, 4, 3, 4, 1, 1, 3, 2, 3, 4, 2, 2, 2, 3, 4, 3, 3, 1, 3, 2, 2, 2, 3, 3, 4, 2, 2, 4, 2, 4, 3, 2, 2, 2, 3, 4, 4, 0, 0]
